PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
6901598;429;1;Boogaloo
6900800;429;1;n/a
1901191;429;1;SAMOC
6900471;429;1;ANT XXV/1
6901229;429;1;n/a
4901420;429;1;n/a
5902301;429;1;OVIDE
6900896;429;1;GOODHOPE 2010
6902632;429;1;HUD2015030
6900762;429;1;RADPORF
6901224;429;1;n/a
6900922;429;1;GOODHOPE 2010
1901177;429;1;GOODHOPE 2010
1901182;429;1;GOODHOPE 2010
3901080;429;1;M77-4
6900717;429;1;GOODHOPE 2010
1901216;429;1;GOODHOPE 2010
6901243;429;1;SOCIB
6901244;429;1;SOCIB
6901247;429;1;SOCIB
6900711;429;1;GOODHOPE 2010
6900709;429;1;GOODHOPE 2010
6901434;429;1;SANAE 52
3901081;429;1;M77-4
6901433;429;1;SANAE 52
3901609;429;1;JRsouth
1901203;429;1;n/a
6901435;429;1;SANAE 52
1901201;429;1;GOODHOPE 2010
3901082;429;1;M77-4
6901831;429;1;AK2014-07-2
6901815;429;1;SOChlC (PNRA)
6901813;429;1;SOChlC (PNRA)
6901443;429;1;COLI-1207
6901481;429;1;n/a
6901480;429;1;n/a
3901087;429;1;NOV, 2010
3901084;429;1;M77-4
6900576;429;1;MSM10/1
1901185;429;1;PHYSINDIEN 2011
3901083;429;1;M77-4
6901482;429;1;n/a
6900577;429;1;MSM10/1
6902631;429;1;M120
6902606;429;1;M116-1
6902611;429;1;M116-1
6901491;429;1;ISMAR
6900978;429;1;MOCOSED
6901040;429;1;n/a
6900919;429;1;UPSEN
6900961;429;1;Maxi Transatlantique Race
6901475;429;1;AMT22
6900812;429;1;ARK XXV/1
6900813;429;1;2010612
6903203;429;1;n/a
6903587;429;1;2021205
6903034;429;1;MSM94
6903581;429;1;2021205
7900551;429;1;BAS
6903583;429;1;2021205
6903586;429;1;2021206
6903789;429;1;XXXVI Antarctic expedition
6903585;429;1;2021205
6903028;429;1;BOCATS
7900553;429;1;BAS
6903871;429;1;BOCATS
6902958;429;1;EUREC4-OA
7900579;429;1;EMB261
6902878;429;1;EUREC4-OA
6900894;429;1;M161_2
6904102;429;1;SO280
6904101;429;1;SO280
6904100;429;1;SO280
6902964;429;1;EUREC4-OA
7900572;429;1;M164
6902957;429;1;EUREC4-OA
6903773;429;1;XXXV Antarctica expedition
6903575;429;1;Cruise 2021205
6903799;429;1;-
3901686;429;1;M161
6901675;429;1;CASSIOPEE
6903271;429;1;Anemone cruise
6900969;429;1;AR 24
6901277;429;1;CANALES SUMMER 2019
6900681;429;1;n/a
1901174;429;1;GMMC TRACK
6903269;429;1;NM Deep Sea Box stations survey
6901417;429;1;Opportunity
6900673;429;1;OVIDE
6901246;429;1;RAPROCAN
6900674;429;1;BOUM
6900675;429;1;BOUM
6900677;429;1;BOUSSOLE
6900678;429;1;NAB
6900941;429;1;PIRATA FR21
6901818;429;1;ULYSSE
6900679;429;1;BOUM
6900680;429;1;n/a
6901870;429;1;Venus3 OceanCertain2015
3901089;429;1;M120
6903873;429;1;BOCATS
1900602;429;1;GMMC EGYPT
1900605;429;1;GMMC EGYPT
6904107;429;1;SO283
1900925;429;1;GMMC GOODHOPE
6900940;429;1;PIRATA FR21
1901350;429;1;80.2
6901000;429;1;MOCOSED
6901041;429;1;TOSCA2012
1901351;429;1;80.2
6901603;429;1;RREX
6902664;429;1;VSF 2015
3902130;429;1;JC159
6902759;429;1;TV OP1 2017
6902658;429;1;VSF 2015
6900982;429;1;UPSEN
6900638;429;1;GMMC OVIDE 2008
6900401;429;1;GMMC OVIDE
6900405;429;1;GMMC OVIDE
1900606;429;1;GMMC EGYPT
1900603;429;1;GMMC EGYPT
1900926;429;1;GMMC GOODHOPE
4900557;429;1;ARGO SPAIN
4900558;429;1;ARGO SPAIN
1900927;429;1;GMMC GOODHOPE
6900972;429;1;ICE_CTD
6903555;429;1;2019205
6902850;429;1;MOOSE 2019
6903558;429;1;2019205
6903559;429;1;Environmental monitoring
6901447;429;1;AX Opportunite
6900640;429;1;GMMC OVIDE 2008
6900403;429;1;GMMC OVIDE
1901187;429;1;PHYSINDIEN 2011
1900604;429;1;GMMC EGYPT
6900902;429;1;PHYSINDIEN 2011
1901202;429;1;PHYSINDIEN 2011
6902830;429;1;VSF 2017
6901544;429;1;AMOP
6902554;429;1;471
6900707;429;1;ANT-XXVII/1
6902947;429;1;PHYSINDIEN
6902812;429;1;RREX
6900954;429;1;SAMOC
6901415;429;1;Opportunity
6903247;429;1;unknown
6902942;429;1;OISO29
6901455;429;1;PIRATA FR23
1900920;429;1;GMMC GOODHOPE
1900846;429;1;PIRATA FR19
6901672;429;1;VSF 2015
6901846;429;1;P468
6900934;429;1;SAMOC
6902792;429;1;OVIDE
6901411;429;1;Opportunité VSF
5902066;429;1;SAMOC
6900699;429;1;GMMC CANOA
1900613;429;1;GMMC EGEE
6900404;429;1;GMMC OVIDE
1901198;429;1;TRACK 2010
6904086;429;1;AREX2021
7900589;429;1;MSM102
6901730;429;1;OMM-III
5902288;429;1;GMMC GOODHOPE 2009
6902711;429;1;OPPORTUNITY (SAIL) VSF
6900399;429;1;GMMC OVIDE
6900402;429;1;GMMC OVIDE
4900556;429;1;ARGO SPAIN
3901858;429;1;Transit
6901822;429;1;n/a
1901190;429;1;GOODHOPE 2010
6900794;429;1;EYE OF LEVANTINE
1900377;429;1;Argo México
1901186;429;1;PHYSINDIEN 2011
6903185;429;1;n/a
6901599;429;1;AMOP
6900449;429;1;GMMC OVIDE
1900854;429;1;GMMC
1900853;429;1;GMMC
